City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cidreira,-30.1811,-50.2056,20.86,71,52,7.62,BR,2021-02-04 23:05:41
Fortuna,40.5982,-124.1573,12.78,71,1,5.14,US,2021-02-04 23:05:41
Port Elizabeth,-33.918,25.5701,20.0,88,0,2.06,ZA,2021-02-04 23:05:41
Ayutla,20.1167,-104.3333,29.48,15,0,3.99,MX,2021-02-04 23:01:34
Puerto Ayora,-0.7393,-90.3518,30.0,62,0,5.66,EC,2021-02-04 23:04:03
Abalak,58.1286,68.5944,-10.67,96,100,3.38,RU,2021-02-04 23:05:41
Kamenka,51.3223,42.7678,3.89,98,100,6.51,RU,2021-02-04 23:05:41
Dormidontovka,47.7702,134.9076,-25.62,83,24,4.82,RU,2021-02-04 23:05:42
Bud,39.447,-86.1758,1.67,95,100,10.16,US,2021-02-04 23:05:42
Qaanaaq,77.484,-69.3632,-29.36,61,57,3.86,GL,2021-02-04 23:05:42
Rikitea,-23.1203,-134.9692,26.06,67,91,4.77,PF,2021-02-04 23:05:42
El Tarra,8.5756,-73.0949,27.16,59,42,0.95,CO,2021-02-04 23:05:42
Laguna,38.421,-121.4238,16.0,39,1,4.12,US,2021-02-04 23:05:42
Chui,-33.6971,-53.4616,18.22,81,72,6.11,UY,2021-02-04 23:05:42
Ushuaia,-54.8,-68.3,11.0,71,20,16.46,AR,2021-02-04 23:05:43
East London,-33.0153,27.9116,22.82,77,91,3.01,ZA,2021-02-04 23:05:43
Mackenzie,55.2999,-123.1698,-8.0,86,90,1.03,CA,2021-02-04 23:05:43
Pisco,-13.7,-76.2167,24.0,69,0,8.75,PE,2021-02-04 23:05:43
Norman Wells,65.282,-126.8329,-39.0,67,20,1.03,CA,2021-02-04 23:05:43
Saint-Pierre,-21.3393,55.4781,27.0,69,75,2.06,RE,2021-02-04 23:05:43
Saint Paul Harbor,57.79,-152.4072,-0.06,92,0,0.98,US,2021-02-04 23:05:43
Port Alfred,-33.5906,26.891,19.44,86,5,3.5,ZA,2021-02-04 23:05:44
Bredasdorp,-34.5322,20.0403,20.0,77,91,2.57,ZA,2021-02-04 23:05:44
Banepā,27.6298,85.5214,6.0,81,20,1.54,NP,2021-02-04 23:05:44
Bacolod City,10.6667,122.95,25.14,84,52,5.81,PH,2021-02-04 23:01:31
Arrondissement de Clermont,49.5,2.4167,7.22,93,90,2.06,FR,2021-02-04 23:05:44
Busselton,-33.65,115.3333,14.44,88,0,0.45,AU,2021-02-04 23:05:44
Jamestown,42.097,-79.2353,1.0,47,1,3.09,US,2021-02-04 23:05:45
Hilo,19.7297,-155.09,23.0,73,75,8.75,US,2021-02-04 23:05:14
Ribeira Grande,38.5167,-28.7,12.93,70,67,10.51,PT,2021-02-04 23:05:45
Punta Arenas,-53.15,-70.9167,13.0,47,0,11.83,CL,2021-02-04 23:05:45
Albany,42.6001,-73.9662,2.0,55,20,2.06,US,2021-02-04 23:05:45
Mnogovershinnyy,53.9353,139.9242,-27.88,88,100,3.35,RU,2021-02-04 23:05:45
Grindavik,63.8424,-22.4338,3.0,87,90,11.32,IS,2021-02-04 23:05:45
Nikolskoye,59.7035,30.7861,-12.78,85,90,3.0,RU,2021-02-04 23:05:46
Saldanha,-33.0117,17.9442,17.0,82,0,3.6,ZA,2021-02-04 23:05:46
Souillac,-20.5167,57.5167,26.0,78,75,5.14,MU,2021-02-04 23:05:46
Hobart,-42.8794,147.3294,22.0,78,75,2.57,AU,2021-02-04 23:05:30
Avarua,-21.2078,-159.775,30.0,66,100,3.09,CK,2021-02-04 23:05:46
Leningradskiy,69.3833,178.4167,-32.46,85,100,5.15,RU,2021-02-04 23:05:46
Vanavara,60.34,102.2797,-24.03,90,100,1.34,RU,2021-02-04 23:05:47
Skjervøy,70.0311,20.9714,0.92,87,100,8.9,NO,2021-02-04 23:05:47
Saint-Philippe,-21.3585,55.7679,27.0,69,75,2.06,RE,2021-02-04 23:05:47
Torbay,47.6666,-52.7314,6.0,100,90,1.03,CA,2021-02-04 23:05:17
Hailar,49.2,119.7,-16.47,94,93,3.78,CN,2021-02-04 23:05:47
Pingliang,35.5392,106.6861,-0.19,70,20,2.56,CN,2021-02-04 23:05:47
Faya,18.3851,42.4509,16.0,76,0,2.57,SA,2021-02-04 23:05:47
San Quintín,30.4833,-115.95,16.46,64,72,8.97,MX,2021-02-04 23:05:48
Hithadhoo,-0.6,73.0833,27.92,76,100,4.58,MV,2021-02-04 23:05:48
Lompoc,34.6391,-120.4579,17.0,51,1,7.2,US,2021-02-04 23:05:41
Upernavik,72.7868,-56.1549,-22.31,69,33,2.03,GL,2021-02-04 23:05:48
Sotuta,20.6,-89.0167,27.46,44,0,2.07,MX,2021-02-04 23:05:48
Tessalit,20.1986,1.0114,20.86,20,79,6.51,ML,2021-02-04 23:05:48
Sujiatun,41.6592,123.3392,-3.0,59,0,3.0,CN,2021-02-04 23:05:49
Kapaa,22.0752,-159.319,22.0,56,75,4.12,US,2021-02-04 23:05:49
Saint George,37.1041,-113.5841,13.89,24,1,3.6,US,2021-02-04 23:04:11
Coos Bay,43.3665,-124.2179,11.0,71,1,7.2,US,2021-02-04 23:05:49
Cabo San Lucas,22.8909,-109.9124,30.0,30,20,3.6,MX,2021-02-04 23:02:48
Mataura,-46.1927,168.8643,18.34,51,42,1.7,NZ,2021-02-04 23:05:49
Lebu,-37.6167,-73.65,19.49,65,0,1.7,CL,2021-02-04 23:05:50
Vaini,-21.2,-175.2,27.0,94,75,3.09,TO,2021-02-04 23:05:50
Vaitape,-16.5167,-151.75,27.16,70,17,3.07,PF,2021-02-04 23:05:50
Ukiah,39.1502,-123.2078,17.22,36,1,0.8,US,2021-02-04 23:05:50
Avera,33.194,-82.5271,12.0,32,40,2.06,US,2021-02-04 23:05:50
Zhigansk,66.7697,123.3711,-41.7,75,0,5.59,RU,2021-02-04 23:05:50
Mahébourg,-20.4081,57.7,26.0,78,75,5.14,MU,2021-02-04 23:05:50
Paamiut,61.994,-49.6678,-8.52,75,0,3.54,GL,2021-02-04 23:05:51
Tiarei,-17.5333,-149.3333,26.0,78,40,3.6,PF,2021-02-04 23:05:51
Cape Town,-33.9258,18.4232,20.0,82,0,4.63,ZA,2021-02-04 23:05:14
Bambous Virieux,-20.3428,57.7575,26.11,78,75,5.14,MU,2021-02-04 23:05:51
San Rafael,-34.6177,-68.3301,28.0,23,18,4.55,AR,2021-02-04 23:05:51
Kampene,-3.6,26.6667,21.05,92,98,0.36,CD,2021-02-04 23:05:51
Port-Cartier,50.0334,-66.8654,-0.56,80,97,2.06,CA,2021-02-04 23:05:51
New Norfolk,-42.7826,147.0587,22.22,62,75,0.45,AU,2021-02-04 23:05:52
Coquimbo,-29.9533,-71.3436,16.0,82,75,4.12,CL,2021-02-04 23:05:52
Três Lagoas,-20.7511,-51.6783,25.38,88,92,2.03,BR,2021-02-04 23:05:52
Pathein,16.7833,94.7333,20.76,77,0,3.59,MM,2021-02-04 23:05:52
Palani,10.4667,77.5333,19.47,72,3,2.14,IN,2021-02-04 23:05:52
Bhitarwār,25.8,78.1167,13.39,76,70,0.31,IN,2021-02-04 23:05:52
Igrim,63.1906,64.4162,-16.45,94,99,1.83,RU,2021-02-04 23:05:52
Laas,46.6166,10.7002,4.44,86,0,1.46,IT,2021-02-04 23:05:53
Hualmay,-11.0964,-77.6139,22.55,72,93,2.67,PE,2021-02-04 23:05:53
Ulaanbaatar,47.9077,106.8832,-17.0,78,40,1.0,MN,2021-02-04 23:05:53
Severo-Kuril'sk,50.6789,156.125,-11.9,88,77,4.6,RU,2021-02-04 23:05:53
Atuona,-9.8,-139.0333,25.88,71,25,4.91,PF,2021-02-04 23:05:53
Vostok,46.4856,135.8833,-29.45,86,39,2.78,RU,2021-02-04 23:05:53
Pacifica,37.6138,-122.4869,15.56,54,1,6.17,US,2021-02-04 23:05:53
Kumul,42.8,93.45,-3.67,87,0,0.58,CN,2021-02-04 23:05:53
Pundaguitan,6.3711,126.1689,27.0,79,66,5.01,PH,2021-02-04 23:05:54
Vangaindrano,-23.35,47.6,24.65,91,57,3.05,MG,2021-02-04 23:05:54
Tuktoyaktuk,69.4541,-133.0374,-37.0,67,75,5.14,CA,2021-02-04 23:05:54
Chokurdakh,70.6333,147.9167,-24.37,87,40,9.1,RU,2021-02-04 23:05:54
Carndonagh,55.25,-7.2667,4.72,94,100,2.5,IE,2021-02-04 23:05:54
Dikson,73.5069,80.5464,-20.89,91,100,5.97,RU,2021-02-04 23:05:54
Necochea,-38.5473,-58.7368,18.89,73,0,3.05,AR,2021-02-04 23:05:54
Tumkūr,13.3422,77.1017,13.0,100,40,1.03,IN,2021-02-04 23:05:55
Honggang,46.4667,124.8667,-19.12,93,69,2.9,CN,2021-02-04 23:05:11
Anchorage,61.2181,-149.9003,-8.0,73,90,2.06,US,2021-02-04 23:01:18
Umluj,25.0213,37.2685,20.9,50,16,1.72,SA,2021-02-04 23:05:55
Marabu,4.4148,114.0089,25.0,94,40,1.54,MY,2021-02-04 23:05:55
Beyneu,45.3167,55.2,6.39,68,92,4.17,KZ,2021-02-04 23:05:55
Saint Anthony,45.0205,-93.218,-7.0,62,75,6.17,US,2021-02-04 23:05:55
Iqaluit,63.7506,-68.5145,-11.0,85,90,6.69,CA,2021-02-04 23:05:56
Athens,37.9795,23.7162,14.44,81,0,1.1,GR,2021-02-04 23:05:53
Salalah,17.0151,54.0924,22.0,73,40,2.06,OM,2021-02-04 23:05:56
Pālakollu,16.5333,81.7333,15.42,90,5,1.49,IN,2021-02-04 23:05:56
Hong Kong,22.2855,114.1577,17.78,80,35,0.89,HK,2021-02-04 23:04:16
Alice Town,25.7167,-79.3,19.98,49,11,3.47,BS,2021-02-04 23:05:56
Mujiayingzi,42.1167,118.7833,-6.24,89,2,5.04,CN,2021-02-04 23:02:34
Belaya Gora,68.5333,146.4167,-27.42,87,64,4.67,RU,2021-02-04 23:05:57
Bandarbeyla,9.4942,50.8122,22.45,73,17,5.71,SO,2021-02-04 23:05:57
Mayo,38.8876,-76.5119,4.0,60,1,0.88,US,2021-02-04 23:04:03
Butaritari,3.0707,172.7902,26.25,87,100,6.21,KI,2021-02-04 23:05:57
Vila Velha,-20.3297,-40.2925,26.11,83,0,7.2,BR,2021-02-04 23:03:34
Tuatapere,-46.1333,167.6833,18.92,54,74,1.47,NZ,2021-02-04 23:05:58
Kaitangata,-46.2817,169.8464,14.44,66,29,4.92,NZ,2021-02-04 23:05:58
Mar del Plata,-38.0023,-57.5575,18.89,77,40,4.63,AR,2021-02-04 23:03:49
Camocim,-2.9022,-40.8411,26.45,77,79,6.25,BR,2021-02-04 23:05:58
Hasilpur,29.7122,72.5553,9.93,67,0,1.6,PK,2021-02-04 23:05:58
Vila Franca do Campo,37.7167,-25.4333,13.0,67,40,6.69,PT,2021-02-04 23:05:58
Yellowknife,62.456,-114.3525,-30.56,69,1,4.12,CA,2021-02-04 23:05:58
Camopi,3.1655,-52.3158,22.71,96,98,1.81,GF,2021-02-04 23:05:59
Tasiilaq,65.6145,-37.6368,-3.0,80,75,7.72,GL,2021-02-04 23:05:59
Sona,45.4388,10.8255,7.78,100,75,1.03,IT,2021-02-04 23:05:59
Port Hardy,50.6996,-127.4199,5.0,100,90,2.06,CA,2021-02-04 22:59:19
Barrow,71.2906,-156.7887,-32.0,83,1,3.09,US,2021-02-04 23:05:59
Yulara,-25.2406,130.9889,19.0,63,90,5.14,AU,2021-02-04 23:05:59
Vao,-22.6667,167.4833,25.96,86,27,9.54,NC,2021-02-04 23:06:00
Guerrero Negro,27.9769,-114.0611,18.12,60,100,8.59,MX,2021-02-04 23:06:00
Constitución,-35.3333,-72.4167,17.55,83,27,2.09,CL,2021-02-04 23:05:56
Manokwari,-0.8667,134.0833,26.81,76,99,2.72,ID,2021-02-04 23:06:00
Hasaki,35.7333,140.8333,2.0,55,20,2.06,JP,2021-02-04 23:06:00
Codrington,-38.2667,141.9667,12.7,85,100,4.87,AU,2021-02-04 23:06:00
Sambava,-14.2667,50.1667,24.62,89,57,3.0,MG,2021-02-04 23:06:00
George Town,5.4112,100.3354,25.56,78,20,3.36,MY,2021-02-04 22:57:49
Lidköping,58.5052,13.1577,-10.56,92,90,0.51,SE,2021-02-04 23:06:01
Jinchang,38.4953,102.1739,-1.18,67,0,3.96,CN,2021-02-04 23:06:01
Aykhal,66.0,111.5,-37.91,80,70,2.0,RU,2021-02-04 23:06:01
Bengkulu,-3.8004,102.2655,23.74,86,82,2.03,ID,2021-02-04 23:06:01
Fairbanks,64.8378,-147.7164,-24.44,76,20,1.54,US,2021-02-04 23:01:25
Pauini,-7.7136,-66.9764,25.59,92,83,1.66,BR,2021-02-04 23:06:02
Thompson,55.7435,-97.8558,-21.0,71,90,5.14,CA,2021-02-04 23:04:00
Cayenne,4.9333,-52.3333,27.0,74,90,4.63,GF,2021-02-04 23:05:21
Bluff,-46.6,168.3333,13.59,65,50,2.67,NZ,2021-02-04 23:06:02
Fare,-16.7,-151.0167,27.59,67,37,3.21,PF,2021-02-04 23:01:10
Tornio,65.8481,24.1466,-10.0,92,0,2.57,FI,2021-02-04 23:06:02
Bethel,41.3712,-73.414,1.0,69,1,1.19,US,2021-02-04 23:05:57
Bonavista,48.6499,-53.1147,6.67,100,99,2.96,CA,2021-02-04 23:06:03
Veinticinco de Mayo,-35.4323,-60.1727,25.0,64,0,2.0,AR,2021-02-04 23:06:03
Airai,-8.9266,125.4092,17.21,100,100,1.71,TL,2021-02-04 23:06:03
Atar,20.5169,-13.0499,19.63,25,81,2.72,MR,2021-02-04 23:06:03
Flinders,-34.5833,150.8552,26.11,77,55,1.79,AU,2021-02-04 23:06:03
Nicoya,10.1483,-85.452,29.0,51,0,7.2,CR,2021-02-04 23:06:04
Tiksi,71.6872,128.8694,-29.96,88,100,3.29,RU,2021-02-04 23:06:04
San Andrés,12.5847,-81.7006,26.0,89,75,4.63,CO,2021-02-04 23:04:03
Narsaq,60.9167,-46.05,-9.0,53,76,2.75,GL,2021-02-04 23:06:04
Noyabrsk,63.1994,75.4507,-27.95,89,16,2.98,RU,2021-02-04 23:06:04
Clyde River,70.4692,-68.5914,-29.0,76,75,6.17,CA,2021-02-04 23:06:04
Tayu,-6.5397,111.0518,25.83,84,98,7.44,ID,2021-02-04 23:06:05
Brae,60.3964,-1.353,2.0,55,40,6.17,GB,2021-02-04 23:06:05
Ponta do Sol,32.6667,-17.1,10.0,63,95,0.89,PT,2021-02-04 23:06:05
Hermanus,-34.4187,19.2345,18.89,85,30,0.45,ZA,2021-02-04 23:06:05
Kawalu,-7.3817,108.2082,22.24,87,94,1.03,ID,2021-02-04 23:06:05
Sitka,57.0531,-135.33,4.0,93,75,2.06,US,2021-02-04 23:06:06
Jega,12.2175,4.3792,24.41,18,0,4.86,NG,2021-02-04 23:06:07
Roseland,38.4221,-122.728,17.22,39,40,1.54,US,2021-02-04 23:06:07
Jirkov,50.4998,13.4477,3.89,83,99,2.68,CZ,2021-02-04 23:06:07
Revda,56.801,59.9303,-5.0,100,40,1.0,RU,2021-02-04 23:06:07
Tiznit Province,29.5833,-9.5,10.66,84,100,4.3,MA,2021-02-04 23:06:08
Provideniya,64.3833,-173.3,-22.05,88,100,12.45,RU,2021-02-04 23:06:08
Brewster,41.3973,-73.6171,4.0,45,1,2.57,US,2021-02-04 23:01:29
Walvis Bay,-22.9575,14.5053,18.33,82,6,1.03,NA,2021-02-04 23:06:08
Aracruz,-19.8203,-40.2733,26.11,83,0,7.2,BR,2021-02-04 23:06:08
Rena,61.1348,11.3641,-13.37,88,41,3.01,NO,2021-02-04 23:06:08
Adiaké,5.2863,-3.304,28.0,94,20,3.09,CI,2021-02-04 23:01:11
Arraial do Cabo,-22.9661,-42.0278,27.0,78,0,6.17,BR,2021-02-04 23:06:09
Hattiesburg,31.3271,-89.2903,19.0,52,90,4.63,US,2021-02-04 23:06:09
Abnūb,27.2696,31.1511,11.0,71,0,5.14,EG,2021-02-04 23:06:09
Mortka,59.3322,66.0214,-9.96,97,100,2.49,RU,2021-02-04 23:06:09
Geraldton,-28.7667,114.6,24.0,33,40,9.26,AU,2021-02-04 23:06:09
Jacksonville,30.3322,-81.6556,16.11,39,75,2.06,US,2021-02-04 23:05:52
Saucillo,28.0167,-105.2833,27.46,18,100,7.69,MX,2021-02-04 23:06:09
Røros,62.5747,11.3842,-30.0,76,90,0.51,NO,2021-02-04 23:03:09
Nanortalik,60.1432,-45.2371,-6.03,79,96,3.46,GL,2021-02-04 23:06:10
Nguru,12.8791,10.4526,20.34,23,0,4.42,NG,2021-02-04 23:06:10
Rawson,-43.3002,-65.1023,32.04,17,0,11.22,AR,2021-02-04 23:06:10
Sur,22.5667,59.5289,18.48,70,0,1.9,OM,2021-02-04 23:06:10
Marawi,7.9986,124.2928,23.33,87,74,1.79,PH,2021-02-04 23:06:10
Kulhudhuffushi,6.6221,73.07,27.29,72,100,2.06,MV,2021-02-04 23:06:11
Pangnirtung,66.1451,-65.7125,-15.0,85,90,1.54,CA,2021-02-04 23:06:11
Puri,19.8,85.85,15.0,88,12,1.55,IN,2021-02-04 23:06:11
Kapuskasing,49.4169,-82.4331,1.0,60,100,4.12,CA,2021-02-04 23:05:33
Saddiqabad,28.3062,70.1307,9.82,65,0,1.02,PK,2021-02-04 23:06:11
Port Blair,11.6667,92.75,25.3,82,0,3.56,IN,2021-02-04 23:06:11
Tomatlán,19.9333,-105.25,29.8,37,0,2.74,MX,2021-02-04 23:06:11
Saskylakh,71.9167,114.0833,-40.51,75,0,1.42,RU,2021-02-04 23:06:12
Ostrovnoy,68.0531,39.5131,-12.09,93,100,9.64,RU,2021-02-04 23:06:12
Kefamenanu,-9.4467,124.4781,22.63,92,100,1.42,ID,2021-02-04 23:06:12
Tarakan,3.3,117.6333,25.05,85,100,3.67,ID,2021-02-04 23:06:12
Uruguaiana,-29.7547,-57.0883,23.0,64,20,5.14,BR,2021-02-04 23:06:12
San Miguel de Cozumel,20.5083,-86.9458,24.0,64,40,3.09,MX,2021-02-04 23:06:12
Contamana,-7.3333,-75.0167,25.33,92,92,1.54,PE,2021-02-04 23:06:13
Denpasar,-8.65,115.2167,26.0,89,20,3.6,ID,2021-02-04 23:04:51
Garoowe,8.4054,48.4845,16.0,80,1,3.0,SO,2021-02-04 23:06:13
Lüderitz,-26.6481,15.1594,20.18,60,0,9.13,NA,2021-02-04 23:06:14
Esperance,-33.8667,121.9,14.0,72,90,1.54,AU,2021-02-04 23:06:14
Kruisfontein,-34.0033,24.7314,18.33,92,0,0.94,ZA,2021-02-04 23:06:14
Port Keats,-14.25,129.55,27.68,78,100,5.27,AU,2021-02-04 23:06:15
Teknāf,20.8624,92.3058,15.19,62,5,1.6,BD,2021-02-04 23:06:15
Nouadhibou,20.931,-17.0347,18.0,88,40,4.12,MR,2021-02-04 23:06:15
Tabou,4.423,-7.3528,25.78,90,2,3.29,CI,2021-02-04 23:06:15
Sheridan,44.8333,-106.9173,1.11,59,90,3.6,US,2021-02-04 23:06:15
Talcahuano,-36.7167,-73.1167,15.0,94,90,4.63,CL,2021-02-04 23:06:16
Dillon,34.4166,-79.3712,9.44,57,1,2.37,US,2021-02-04 23:06:16
Kokopo,-4.352,152.2633,28.28,70,98,2.21,PG,2021-02-04 23:06:16
Amparafaravola,-17.5833,48.2167,19.21,95,95,0.21,MG,2021-02-04 23:06:16
Manono,-7.3,27.4167,21.46,92,95,0.87,CD,2021-02-04 23:06:16
Qarchī Gak,37.04,66.7889,6.0,81,20,1.54,AF,2021-02-04 23:06:16
Katsuura,35.1333,140.3,5.56,45,20,7.72,JP,2021-02-04 23:06:16
Aleksandrów Kujawski,52.8766,18.6935,-2.22,100,86,0.51,PL,2021-02-04 23:06:17
Ust'-Kan,50.9276,84.761,-10.26,90,98,1.54,RU,2021-02-04 23:06:17
Kesinga,20.2,83.2333,12.45,42,15,0.78,IN,2021-02-04 23:06:17
Burgeo,47.6167,-57.6152,4.27,91,57,4.5,CA,2021-02-04 23:06:17
Lodja,-3.4833,23.4333,20.9,92,70,0.63,CD,2021-02-04 23:06:18
Lavrentiya,65.5833,-171.0,-22.2,85,100,8.85,RU,2021-02-04 23:06:18
Plouzané,48.3833,-4.6167,9.0,93,90,2.06,FR,2021-02-04 23:06:18
Doha,25.2867,51.5333,19.0,94,0,2.56,QA,2021-02-04 23:06:18
Naryan-Mar,67.6713,53.087,-26.48,88,60,5.48,RU,2021-02-04 23:06:18
Qasigiannguit,68.8193,-51.1922,-18.0,35,0,6.69,GL,2021-02-04 23:06:18
Te Anau,-45.4167,167.7167,19.3,58,82,0.54,NZ,2021-02-04 23:06:18
Nyurba,63.2842,118.3319,-39.54,81,80,2.49,RU,2021-02-04 23:06:18
Otradnoye,59.7775,30.8181,-12.78,85,90,3.0,RU,2021-02-04 23:06:19
Mount Gambier,-37.8333,140.7667,12.0,94,75,6.17,AU,2021-02-04 23:06:19
Talnakh,69.4865,88.3972,-30.33,86,100,0.67,RU,2021-02-04 23:06:19
Blackwater,-23.5833,148.8833,26.45,60,27,4.73,AU,2021-02-04 23:06:19
Olafsvik,64.8945,-23.7142,3.71,78,91,17.21,IS,2021-02-04 23:06:19
Nānākuli,21.3906,-158.1547,22.0,60,90,3.09,US,2021-02-04 23:06:19
Otane,-39.8833,176.6333,15.56,70,90,1.79,NZ,2021-02-04 23:06:20
Bardsīr,29.9227,56.5743,1.0,29,0,3.09,IR,2021-02-04 23:06:20
Rabo de Peixe,37.8,-25.5833,13.0,67,40,6.69,PT,2021-02-04 23:06:20
Zyryanka,65.75,150.85,-24.25,89,100,8.7,RU,2021-02-04 23:06:20
San Ramon,37.7799,-121.978,17.0,27,1,3.09,US,2021-02-04 23:04:19
Pevek,69.7008,170.3133,-24.69,78,0,5.77,RU,2021-02-04 23:06:20
Gravdal,68.1214,13.5031,0.0,74,20,2.06,NO,2021-02-04 23:06:20
Yerbogachën,61.2767,108.0108,-30.16,87,90,0.4,RU,2021-02-04 23:06:21
Ahipara,-35.1667,173.1667,22.69,56,80,1.25,NZ,2021-02-04 23:06:21
Shar,49.5886,81.0453,-5.41,94,100,2.88,KZ,2021-02-04 23:06:21
Elban,50.1018,136.5094,-29.97,85,29,0.63,RU,2021-02-04 23:06:21
Tautira,-17.7333,-149.15,26.0,83,20,5.14,PF,2021-02-04 23:01:46
Hambantota,6.1241,81.1185,24.13,76,97,7.28,LK,2021-02-04 23:06:22
Giohar,2.7809,45.5005,22.83,86,7,5.26,SO,2021-02-04 23:01:44
Tehachapi,35.1322,-118.449,12.22,30,0,5.36,US,2021-02-04 23:06:22
Lincoln,40.8,-96.667,-1.67,54,1,3.09,US,2021-02-04 23:05:49
Havre-St-Pierre,50.2334,-63.5986,0.0,93,90,2.06,CA,2021-02-04 23:06:22
Praia da Vitória,38.7333,-27.0667,12.0,76,75,10.07,PT,2021-02-04 23:06:22
Gardendale,33.6601,-86.8128,13.0,50,90,4.63,US,2021-02-04 23:06:23
Tefé,-3.3542,-64.7114,29.0,79,20,1.54,BR,2021-02-04 23:05:05
College,64.8569,-147.8028,-24.44,76,20,2.57,US,2021-02-04 23:06:23
Ternate,0.8,127.4,27.0,77,100,1.7,ID,2021-02-04 23:06:23
São João da Barra,-21.6403,-41.0511,25.66,81,4,9.87,BR,2021-02-04 23:06:23
Tutóia,-2.7619,-42.2744,27.05,76,68,5.61,BR,2021-02-04 23:06:23
Stornoway,58.2093,-6.3865,3.0,87,90,9.77,GB,2021-02-04 23:06:24
Bitung,1.4451,125.1824,24.0,100,40,0.51,ID,2021-02-04 23:06:24
Kosh-Agach,50.0,88.6667,-17.2,88,39,0.35,RU,2021-02-04 23:06:24
Kloulklubed,7.0419,134.2556,29.0,74,75,5.14,PW,2021-02-04 23:06:24
Ensenada,31.8667,-116.6167,16.11,78,54,0.89,MX,2021-02-04 23:06:24
São Filipe,14.8961,-24.4956,21.8,82,100,3.97,CV,2021-02-04 23:06:24
Kahului,20.8947,-156.47,23.0,60,75,5.14,US,2021-02-04 23:06:25
Mount Isa,-20.7333,139.5,30.0,54,100,7.2,AU,2021-02-04 23:06:25
Champerico,14.3,-91.9167,28.0,74,75,4.01,GT,2021-02-04 23:06:25
Baturaja,-4.1333,104.1667,21.98,95,99,1.65,ID,2021-02-04 23:02:19
Cherskiy,68.75,161.3,-24.48,74,0,4.85,RU,2021-02-04 23:06:25
Cockburn Town,21.4612,-71.1419,23.37,67,0,6.71,TC,2021-02-04 23:02:02
Sakaiminato,35.55,133.2333,0.0,86,20,1.03,JP,2021-02-04 23:06:25
Shetpe,44.1667,52.1167,5.59,85,34,4.58,KZ,2021-02-04 23:06:26
Tyukhtet,56.5389,89.3011,-14.35,95,99,3.06,RU,2021-02-04 23:06:26
Baracoa,20.3467,-74.4958,22.53,71,35,3.22,CU,2021-02-04 23:06:26
Tocopilla,-22.092,-70.1979,21.66,55,83,2.29,CL,2021-02-04 23:06:26
Lubao,14.9167,120.55,25.0,78,75,2.06,PH,2021-02-04 23:06:27
Lagoa,39.05,-27.9833,12.81,74,27,10.2,PT,2021-02-04 23:06:27
Hirara,24.8,125.2833,16.0,72,20,2.57,JP,2021-02-04 23:06:27
Nosy Varika,-20.5833,48.5333,24.87,88,52,1.45,MG,2021-02-04 23:06:27
Gejiu,23.306,103.1635,6.86,100,51,1.33,CN,2021-02-04 23:06:27
Urussu,54.5981,53.4631,1.6,95,100,3.77,RU,2021-02-04 23:06:27
Idanre,7.1127,5.1159,24.17,91,0,1.14,NG,2021-02-04 23:06:27
